,objectID,food_type,stars_count,reviews_count,neighborhood,phone_number,price_range,dining_style,name,address,area,city,country,image_url,mobile_reserve_url,payment_options,phone,postal_code,price,reserve_url,state,_geoloc
0,116272,Steak,4.2,204,Pepper Pike,(216) 378-8988,$31 to $50,Fine Dining,XO Prime Steaks Pepper Pike,29425 Chagrin Blvd,Cleveland / Akron / Canton,Pepper Pike,US,https://www.opentable.com/img/restimages/116272.jpg,http://mobile.opentable.com/opentable/?restId=116272,"['AMEX', 'Discover', 'MasterCard', 'Visa']",2163788988x,44122,3,http://www.opentable.com/single.aspx?rid=116272,OH,"{'lat': 41.462926, 'lng': -81.470595}"
1,138901,Sushi,4.3,75,Medina,(330) 661-0606,$30 and under,Casual Dining,Twiisted Bar & Grill,985 Boardman Alley,Cleveland / Akron / Canton,Medina,US,https://www.opentable.com/img/restimages/138901.jpg,http://mobile.opentable.com/opentable/?restId=138901,"['AMEX', 'Discover', 'MasterCard', 'Visa']",330-661-0606x,44256,2,http://www.opentable.com/single.aspx?rid=138901,OH,"{'lat': 41.153419, 'lng': -81.864608}"
2,96892,Italian,4.3,161,Bath,(330) 666-9990,$30 and under,Casual Dining,Ken Stewart's Tre Belle,1911 N. Cleveland Massillon Road,Cleveland / Akron / Canton,Bath,US,https://www.opentable.com/img/restimages/96892.jpg,http://mobile.opentable.com/opentable/?restId=96892,"['AMEX', 'Diners Club', 'Discover', 'MasterCard', 'Visa']",3306669990x,44333,2,http://www.opentable.com/single.aspx?rid=96892,OH,"{'lat': 41.187298, 'lng': -81.635277}"
3,108532,American,4.5,159,Boardman,(330) 965-5899,$30 and under,Casual Dining,Culinary Arts Restaurant,492 McClurg Road,Cleveland / Akron / Canton,Boardman,US,https://www.opentable.com/img/restimages/108532.jpg,http://mobile.opentable.com/opentable/?restId=108532,"['AMEX', 'Discover', 'MasterCard', 'Visa']",3309655899,44512,2,http://www.opentable.com/single.aspx?rid=108532,OH,"{'lat': 40.995733, 'lng': -80.64484}"
4,25840,Sushi,4.5,332,Shaker Heights,(216) 767-1111,$30 and under,Casual Dining,SASA,13120 Shaker Square,Cleveland / Akron / Canton,Cleveland,US,https://www.opentable.com/img/restimages/25840.jpg,http://mobile.opentable.com/opentable/?restId=25840,"['AMEX', 'Diners Club', 'Discover', 'MasterCard', 'Visa']",2167671111,44120,2,http://www.opentable.com/single.aspx?rid=25840,OH,"{'lat': 41.483445, 'lng': -81.591102}"
5,136147,Italian,3.9,55,Akron,(330) 374-0025,$30 and under,Casual Dining,Spaghetti Warehouse - Akron,510 S. Main St.,Cleveland / Akron / Canton,Akron,US,https://www.opentable.com/img/restimages/136147.jpg,http://mobile.opentable.com/opentable/?restId=136147,"['AMEX', 'Discover', 'MasterCard', 'Visa']",3303740025,44311,2,http://www.opentable.com/single.aspx?rid=136147,OH,"{'lat': 41.072751, 'lng': -81.524823}"
6,106828,Seafood,4.5,181,Sandusky,(419) 625-6373,$31 to $50,Casual Elegant,Bay Harbor,1 Cedar Point Drive,Cleveland / Akron / Canton,Sandusky,US,https://www.opentable.com/img/restimages/106828.jpg,http://mobile.opentable.com/opentable/?restId=106828,"['AMEX', 'Discover', 'MasterCard', 'Visa']",4196256373x,44870,3,http://www.opentable.com/single.aspx?rid=106828,OH,"{'lat': 41.477769, 'lng': -82.679062}"
7,110065,Italian,4.4,215,The Flats,(216) 862-8065,$31 to $50,Casual Dining,LAGO Cucina Enotecca and Birreria,1091 W. 10th St.,Cleveland / Akron / Canton,Cleveland,US,https://www.opentable.com/img/restimages/110065.jpg,http://mobile.opentable.com/opentable/?restId=110065,"['AMEX', 'Discover', 'MasterCard', 'Visa']",2168628065,44113,3,http://www.opentable.com/single.aspx?rid=110065,OH,"{'lat': 41.500809, 'lng': -81.703332}"
8,90433,Italian,4.4,375,Akron,(234) 678-3612,$30 and under,Casual Elegant,D'Agnese's at White Pond,566 White Pond Drive,Cleveland / Akron / Canton,Akron,US,https://www.opentable.com/img/restimages/90433.jpg,http://mobile.opentable.com/opentable/?restId=90433,"['AMEX', 'Discover', 'MasterCard', 'Visa']",2346783612x,44320,2,http://www.opentable.com/single.aspx?rid=90433,OH,"{'lat': 41.101381, 'lng': -81.586795}"
9,117703,Southern,4.1,173,Hudson,(234) 380-1789,$30 and under,Fine Dining,Peachtree Southern Kitchen and Cocktails,200 N. Main Street,Cleveland / Akron / Canton,Hudson,US,https://www.opentable.com/img/restimages/117703.jpg,http://mobile.opentable.com/opentable/?restId=117703,"['AMEX', 'Discover', 'MasterCard', 'Visa']",2343801789,44236,2,http://www.opentable.com/single.aspx?rid=117703,OH,"{'lat': 41.242705, 'lng': -81.440704}"
